name,rate,fees,datetime
30-Year fixed-rate mortgage,3.56%," 0.7
 Fees/Points",2022-01-26 08:09:11
15-Year fixed-rate mortgage,2.79%," 0.6
 Fees/Points",2022-01-26 08:09:11
5/1-Year adjustable-rate mortgage,2.60%," 0.3
 Fees/Points",2022-01-26 08:09:11
