name,rate,fees,datetime
30-Year fixed-rate mortgage,3.45%," 0.7
 Fees/Points",2022-01-19 08:09:18
15-Year fixed-rate mortgage,2.62%," 0.7
 Fees/Points",2022-01-19 08:09:18
5/1-Year adjustable-rate mortgage,2.57%," 0.3
 Fees/Points",2022-01-19 08:09:18
