name,rate,fees,datetime
30-Year fixed-rate mortgage,3.92%," 0.8
 Fees/Points",2022-02-18 08:09:53
15-Year fixed-rate mortgage,3.15%," 0.8
 Fees/Points",2022-02-18 08:09:53
5/1-Year adjustable-rate mortgage,2.98%," 0.3
 Fees/Points",2022-02-18 08:09:53
